, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
53441,70178,PRT,53,123,2,59.0,7.0,0,0,1,1,1,124,124,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53454,70205,GBR,40,122,3,74.0,7.0,0,0,1,1,1,123,123,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53733,70804,GBR,41,118,6,89.0,7.0,0,0,1,1,1,119,119,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53871,71077,PRT,49,116,0,267.0,230.0,0,0,1,3,3,119,119,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53883,71101,PRT,68,116,5,160.5,7.0,0,0,1,1,1,117,117,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53905,71147,PRT,33,116,0,177.0,23.0,0,0,1,1,1,117,117,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
53928,71185,USA,36,115,33,356.0,28.0,0,0,1,4,4,119,119,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53933,71190,IRL,59,115,39,436.0,45.0,0,0,1,4,4,119,119,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
53949,71213,PRT,63,115,2,93.0,54.0,0,0,1,2,1,116,116,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
53953,71221,PRT,47,115,12,118.0,36.0,0,0,1,2,2,117,117,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
54275,71815,PRT,52,111,0,59.0,7.0,0,0,1,1,1,112,112,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
54279,71821,FRA,52,110,2,267.0,69.1,0,0,1,3,3,113,113,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
54283,71828,ESP,55,110,0,178.0,34.5,0,0,1,2,2,112,112,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
54308,71874,SWE,72,110,33,440.0,155.5,0,0,2,5,5,56,112,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
54423,72096,PRT,50,108,16,118.0,14.0,0,0,1,2,2,110,110,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
54711,72644,NLD,52,105,207,309.0,106.0,0,0,1,6,3,108,108,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
54787,72781,PRT,41,104,38,63.0,14.0,0,0,1,2,1,105,105,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
54881,72946,NLD,35,102,39,267.0,111.0,0,0,1,3,3,105,105,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55057,73256,NLD,36,101,39,445.0,98.5,0,0,1,5,5,106,106,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55359,73708,FRA,57,96,13,89.0,7.0,0,0,1,1,1,97,97,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55422,73808,ESP,48,95,5,321.0,24.0,0,0,1,2,2,96,96,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55423,73809,NLD,53,95,5,321.0,14.0,0,0,1,2,2,96,96,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55477,73898,PRT,39,95,13,178.0,17.0,0,0,1,2,2,97,97,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55486,73916,PRT,50,95,29,118.0,14.0,0,0,1,2,2,97,97,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
55499,73942,DNK,36,95,2,109.0,19.8,0,0,1,1,1,96,96,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
55500,73943,PRT,47,95,18,252.0,41.0,0,0,3,3,3,47,96,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
55510,73963,PRT,36,94,45,65.0,14.0,0,0,1,2,1,95,95,Corporate,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
55540,74015,PRT,42,94,31,89.0,7.0,0,0,1,1,1,95,95,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
55542,74018,PRT,38,94,31,89.0,7.0,0,0,1,1,1,95,95,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
55543,74019,PRT,57,94,4,163.0,24.0,0,0,2,2,2,33,95,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55605,74127,PRT,38,94,11,385.0,45.0,0,0,4,5,5,13,95,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
55623,74157,PRT,32,93,17,109.0,7.0,0,0,1,1,1,94,94,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55686,74272,AUT,41,92,2,436.0,28.0,0,0,1,4,4,96,96,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
55812,74492,PRT,47,91,30,59.0,7.0,0,0,1,1,1,92,92,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
55850,74557,PRT,50,90,1,118.0,16.0,0,0,1,2,2,92,92,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
